league,season,team_id,team_code,team_name,g,w,l,w_pct,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,min,off_rating,def_rating,net_rating,pace,poss,ts_pct,efg_pct,pie,orb_pct,drb_pct,tov_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,opp_pts,opp_fgm,opp_fga,opp_ftm,opp_fta,opp_tov,opp_oreb,opp_dreb,source,srs,srs_off,srs_def,sos
WNBA,1999,1611661320,LAS,Los Angeles Sparks,32,20,12,0.625,887,2036,0.436,163,474,0.344,504,674,0.748,340,722,1062,580,236,124,482.0,691,2441,1292.15,101.5,96.1,5.4,89.45,2409,0.523,0.476,0.542,0.348,0.657,0.2,0.331,0.448,0.204,0.343,0.363,2313.0,816.0,1986.0,534.0,720.0,492.0,333.0,695.0,nba_api:leaguedashteamstats,4.3148148148148096,7.546693121693116,-3.231878306878307,0.22106481481480955
WNBA,1999,1611661324,MIN,Minnesota Lynx,32,15,17,0.469,748,1926,0.388,200,604,0.331,339,470,0.721,298,608,906,525,204,78,437.0,670,2035,1295.0,93.3,97.1,-3.7,80.71,2180,0.477,0.44,0.441,0.345,0.646,0.2,0.244,0.464,0.226,0.354,0.364,2111.0,749.0,1763.0,476.0,641.0,492.0,296.0,732.0,nba_api:leaguedashteamstats,-1.074074074074078,-6.237037037037034,5.162962962962956,1.300925925925922
WNBA,1999,1611661313,NYL,New York Liberty,32,18,14,0.563,784,1858,0.422,171,454,0.377,387,519,0.746,304,613,917,508,285,83,461.0,681,2126,1269.866667,96.4,92.4,4.0,83.35,2207,0.509,0.468,0.52,0.332,0.644,0.209,0.28,0.444,0.246,0.356,0.412,2036.0,703.0,1705.0,523.0,702.0,541.0,294.0,664.0,nba_api:leaguedashteamstats,1.1018518518518645,-2.12407407407406,3.2259259259259245,-1.3981481481481355
WNBA,1999,1611661323,ORL,Orlando Miracle,32,15,17,0.469,793,1869,0.424,155,461,0.336,465,672,0.692,329,637,966,467,297,93,521.0,648,2206,1290.0,96.1,96.9,-0.8,85.23,2295,0.51,0.466,0.484,0.361,0.621,0.227,0.36,0.472,0.234,0.379,0.321,2216.0,812.0,1892.0,431.0,608.0,534.0,340.0,664.0,nba_api:leaguedashteamstats,-1.148148148148155,-0.32050264550265695,-0.8276455026454981,-0.835648148148155
WNBA,1999,1611661317,PHO,Phoenix Mercury,32,15,17,0.469,761,1907,0.399,134,457,0.293,511,685,0.746,342,657,999,511,228,119,459.0,652,2167,1275.483333,96.2,96.0,0.2,85.01,2253,0.491,0.434,0.499,0.361,0.642,0.204,0.359,0.446,0.211,0.358,0.334,2174.0,791.0,1906.0,475.0,637.0,478.0,333.0,676.0,nba_api:leaguedashteamstats,0.5092592592592577,-1.641798941798943,2.1510582010582007,0.6655092592592577
WNBA,1999,1611661318,SAC,Sacramento Monarchs,32,19,13,0.594,849,2006,0.423,126,421,0.299,568,847,0.671,412,700,1112,500,328,123,508.0,614,2392,1280.0,99.0,93.3,5.6,90.67,2417,0.503,0.455,0.551,0.395,0.65,0.21,0.422,0.459,0.235,0.35,0.298,2258.0,829.0,1981.0,439.0,590.0,568.0,310.0,665.0,nba_api:leaguedashteamstats,4.2314814814814925,5.415740740740753,-1.1842592592592602,0.0439814814814925
WNBA,1999,1611661319,UTA,Utah Starzz,32,15,17,0.469,845,1950,0.433,107,363,0.295,570,742,0.768,344,717,1061,552,240,158,560.0,740,2367,1300.0,97.2,102.2,-5.1,89.52,2436,0.52,0.461,0.476,0.365,0.674,0.23,0.381,0.483,0.198,0.326,0.39,2467.0,860.0,1965.0,567.0,766.0,477.0,311.0,661.0,nba_api:leaguedashteamstats,-1.4351851851851691,5.8681216931217,-7.303306878306869,1.6898148148148309
WNBA,1999,1611661322,WAS,Washington Mystics,32,12,20,0.375,759,1794,0.423,100,345,0.29,482,679,0.71,312,701,1013,461,203,87,574.0,646,2100,1295.0,92.0,97.9,-5.9,84.84,2283,0.502,0.451,0.447,0.362,0.634,0.251,0.378,0.447,0.19,0.366,0.327,2246.0,825.0,1987.0,469.0,650.0,436.0,359.0,636.0,nba_api:leaguedashteamstats,-5.120370370370375,-3.6637566137566244,-1.4566137566137503,-0.5578703703703747
WNBA,2000,1611661314,CHA,Charlotte Sting,32,8,24,0.25,812,1903,0.427,131,386,0.339,431,577,0.747,305,630,935,551,222,90,496.0,713,2186,1295.0,95.5,106.0,-10.5,84.88,2289,0.507,0.461,0.412,0.346,0.634,0.217,0.303,0.491,0.186,0.366,0.371,2429.0,879.0,1930.0,533.0,716.0,426.0,326.0,664.0,nba_api:leaguedashteamstats,-7.616972301285902,-0.4665385804536051,-7.150433720832297,-0.023222301285901636
WNBA,2000,1611661315,CLE,Cleveland Rockers,32,17,15,0.531,788,1781,0.442,131,389,0.337,418,560,0.746,328,590,918,523,253,89,513.0,624,2125,1258.883333,98.3,94.2,4.1,82.61,2162,0.524,0.479,0.518,0.387,0.656,0.237,0.314,0.471,0.246,0.344,0.327,2045.0,748.0,1710.0,435.0,560.0,534.0,270.0,580.0,nba_api:leaguedashteamstats,0.6985974920480689,-1.4682263443474826,2.1668238363955514,-1.2701525079519311
WNBA,2000,1611661321,DET,Detroit Shock,32,14,18,0.438,868,1981,0.438,76,273,0.278,519,699,0.742,341,644,985,503,260,88,530.0,701,2331,1285.0,96.6,101.1,-4.5,89.95,2414,0.509,0.457,0.463,0.376,0.623,0.22,0.353,0.495,0.226,0.377,0.331,2428.0,906.0,1968.0,480.0,652.0,543.0,331.0,641.0,nba_api:leaguedashteamstats,-4.124693709202564,4.168641756532111,-8.293335465734675,-1.155943709202564
WNBA,2000,1611661316,HOU,Houston Comets,32,27,5,0.844,891,1894,0.47,172,491,0.35,521,634,0.822,273,724,997,494,284,104,440.0,554,2475,1295.0,109.1,90.8,18.4,84.21,2268,0.569,0.516,0.641,0.351,0.669,0.194,0.335,0.438,0.211,0.331,0.262,2066.0,786.0,1938.0,370.0,508.0,480.0,290.0,612.0,nba_api:leaguedashteamstats,12.057445633399157,7.940200857927701,4.117244775471455,-0.7238043666008434
WNBA,2000,1611661325,IND,Indiana Fever,32,9,23,0.281,796,1838,0.433,193,521,0.37,428,569,0.752,285,647,932,501,271,126,518.0,641,2213,1285.0,97.2,100.6,-3.4,85.04,2277,0.53,0.486,0.478,0.329,0.64,0.227,0.31,0.478,0.209,0.36,0.358,2290.0,839.0,1868.0,503.0,669.0,476.0,321.0,633.0,nba_api:leaguedashteamstats,-3.2970759500521756,0.36330663217967096,-3.6603825822318465,-0.8908259500521756
WNBA,2000,1611661320,LAS,Los Angeles Sparks,32,28,4,0.875,861,1956,0.44,150,452,0.332,545,693,0.786,308,783,1091,586,271,156,466.0,705,2417,1290.0,101.1,91.2,9.9,88.71,2390,0.535,0.479,0.606,0.329,0.681,0.195,0.354,0.426,0.204,0.319,0.353,2169.0,776.0,1963.0,495.0,692.0,486.0,300.0,678.0,nba_api:leaguedashteamstats,8.214367878887272,6.694901944777158,1.5194659341101135,0.4643678788872716
WNBA,2000,1611661326,MIA,Miami Sol,32,13,19,0.406,647,1774,0.365,85,310,0.274,452,664,0.681,365,595,960,415,272,88,524.0,707,1831,1295.0,84.8,92.5,-7.7,80.1,2159,0.443,0.389,0.394,0.39,0.661,0.243,0.374,0.462,0.244,0.339,0.374,2001.0,715.0,1676.0,454.0,627.0,528.0,275.0,648.0,nba_api:leaguedashteamstats,-6.174137448868194,-12.674271047901206,6.500133599033012,-0.8616374488681942
WNBA,2000,1611661324,MIN,Minnesota Lynx,32,15,17,0.469,770,1831,0.421,204,571,0.357,448,590,0.759,258,612,870,495,237,63,497.0,690,2192,1285.0,96.4,95.9,0.5,85.11,2275,0.524,0.476,0.486,0.31,0.65,0.218,0.323,0.476,0.24,0.35,0.399,2188.0,755.0,1758.0,514.0,702.0,548.0,300.0,677.0,nba_api:leaguedashteamstats,1.1533062269951282,0.07933680886237582,1.0739694181327524,0.9970562269951282
WNBA,2000,1611661313,NYL,New York Liberty,32,20,12,0.625,792,1815,0.436,135,396,0.341,429,567,0.757,288,652,940,476,246,102,474.0,617,2148,1285.0,98.0,92.5,5.5,82.05,2192,0.52,0.474,0.547,0.34,0.65,0.216,0.312,0.439,0.218,0.35,0.324,2035.0,741.0,1822.0,437.0,590.0,479.0,320.0,647.0,nba_api:leaguedashteamstats,2.728168816042343,-2.535188816610402,5.263357632652745,-0.8030811839576568
WNBA,2000,1611661323,ORL,Orlando Miracle,32,16,16,0.5,809,1862,0.434,142,417,0.341,377,523,0.721,312,591,903,460,240,129,469.0,562,2137,1259.966667,97.7,99.4,-1.6,83.32,2187,0.511,0.473,0.48,0.361,0.601,0.214,0.281,0.47,0.218,0.399,0.253,2173.0,830.0,1918.0,370.0,485.0,476.0,345.0,656.0,nba_api:leaguedashteamstats,-1.7951057347144084,-0.4962478571938469,-1.2988578775205615,-1.0138557347144084
WNBA,2000,1611661317,PHO,Phoenix Mercury,32,20,12,0.625,800,1796,0.445,122,392,0.311,513,661,0.776,275,619,894,463,284,91,429.0,630,2235,1283.916667,101.2,94.7,6.5,82.85,2212,0.535,0.48,0.564,0.335,0.623,0.194,0.367,0.46,0.239,0.377,0.314,2102.0,773.0,1828.0,421.0,574.0,530.0,334.0,635.0,nba_api:leaguedashteamstats,4.850458685554258,1.055552048628913,3.7949066369253455,0.4442086855542584
WNBA,2000,1611661327,POR,Portland Fire,32,10,22,0.313,761,1828,0.416,145,433,0.335,488,697,0.7,309,627,936,480,265,93,593.0,760,2155,1305.0,91.2,98.0,-6.8,86.64,2362,0.505,0.456,0.436,0.359,0.64,0.251,0.381,0.467,0.226,0.36,0.415,2303.0,788.0,1847.0,577.0,766.0,530.0,307.0,646.0,nba_api:leaguedashteamstats,-3.098623487538355,-0.952490540045841,-2.146132947492514,1.526376512461645
WNBA,2000,1611661318,SAC,Sacramento Monarchs,32,21,11,0.656,876,1993,0.44,142,459,0.309,449,650,0.691,388,650,1038,567,332,157,459.0,571,2343,1280.0,102.4,95.4,7.0,85.69,2289,0.514,0.475,0.567,0.401,0.626,0.201,0.326,0.46,0.23,0.374,0.284,2176.0,811.0,1918.0,410.0,544.0,524.0,320.0,631.0,nba_api:leaguedashteamstats,5.570845748865613,4.069672664773395,1.5011730840922182,0.35209574886561334
WNBA,2000,1611661328,SEA,Seattle Storm,32,6,26,0.188,667,1740,0.383,109,364,0.299,379,561,0.676,256,537,793,390,255,93,524.0,648,1822,1295.0,83.1,98.1,-15.0,81.66,2193,0.459,0.415,0.314,0.309,0.627,0.239,0.322,0.486,0.239,0.373,0.38,2171.0,778.0,1721.0,498.0,654.0,529.0,288.0,721.0,nba_api:leaguedashteamstats,-8.513129813478791,-11.776607187186508,3.263477373707717,2.393120186521209
WNBA,2000,1611661319,UTA,Utah Starzz,32,18,14,0.563,858,1896,0.453,88,262,0.336,609,790,0.771,348,732,1080,522,214,157,544.0,698,2413,1280.0,100.6,101.3,-0.7,89.51,2398,0.538,0.476,0.513,0.384,0.681,0.227,0.417,0.478,0.184,0.319,0.367,2407.0,860.0,1964.0,531.0,721.0,437.0,313.0,598.0,nba_api:leaguedashteamstats,1.0835109454974088,7.167571930401198,-6.08406098490379,0.8960109454974088
