season,team_id,team_code,games,mov,srs,srs_off,srs_def,sos,home_court_adv,treatment,cap
2008,1611661329,CHI,34,-1.1176470588235294,-1.4586783507366095,-3.9976418622882632,2.538963511551654,-0.34103129191308,3.142857142857153,cap,26.0
2008,1611661322,WAS,34,-6.852941176470588,-6.248348591558982,-6.485041896321741,0.23669330476275885,0.6045925849116056,3.142857142857153,cap,26.0
2008,1611661330,ATL,34,-10.147058823529411,-9.448129137115028,-0.6366545091185358,-8.811474627996493,0.6989296864143828,3.142857142857153,cap,26.0
2009,1611661317,PHO,34,3.676470588235294,3.4755833751104035,15.716378419984554,-12.240795044874151,-0.20088721312489044,4.004804582332294,cap,26.0
2009,1611661325,IND,34,3.088235294117647,2.6501316994976247,-2.005437740156189,4.655569439653814,-0.43810359462002246,4.004804582332294,cap,26.0
2009,1611661328,SEA,34,2.0,1.765057059320993,-4.588884737910147,6.3539417972311405,-0.2349429406790069,4.004804582332294,cap,26.0
2009,1611661330,ATL,34,1.8823529411764706,1.586599168663871,6.4729229621640885,-4.8863237935002175,-0.2957537725125996,4.004804582332294,cap,26.0
2009,1611661320,LAS,33,0.7878787878787878,0.5792198831252824,-4.852830720268811,5.432050603394093,-0.20865890475350546,4.004804582332294,cap,26.0
2009,1611661321,DET,34,0.23529411764705882,0.16284888503547634,-0.34597558763297265,0.508824472668449,-0.07244523261158248,4.004804582332294,cap,26.0
2009,1611661323,CON,34,-0.08823529411764706,-0.16216963182897715,-0.2313536460701453,0.06918401424116816,-0.07393433771133008,4.004804582332294,cap,26.0
2009,1611661313,NYL,33,-0.42424242424242425,-0.363772003770892,-4.536191051010031,4.172419047239139,0.06047042047153223,4.004804582332294,cap,26.0
2009,1611661322,WAS,34,-1.088235294117647,-0.8966538817737719,-2.175596770425698,1.278942888651926,0.19158141234387505,4.004804582332294,cap,26.0
2009,1611661319,SAS,34,-1.3529411764705883,-1.208627151205358,-1.80906017650666,0.6004330253013022,0.1443140252652304,4.004804582332294,cap,26.0
2009,1611661318,SAC,34,-2.3529411764705883,-2.1033639933105848,-1.8564285975592574,-0.2469353957513274,0.24957718316000355,4.004804582332294,cap,26.0
2009,1611661324,MIN,34,-2.823529411764706,-2.471785045942182,2.2593608761249264,-4.731145922067109,0.3517443658225239,4.004804582332294,cap,26.0
2009,1611661329,CHI,34,-3.5294117647058822,-3.0130683629219006,-2.046903230733663,-0.9661651321882374,0.5163434017839816,4.004804582332294,cap,26.0
2010,1611661328,SEA,34,7.911764705882353,5.415420227920214,-1.157314050094226,6.57273427801444,-2.496344477962139,2.549019607843137,cap,26.0
2010,1611661325,IND,34,4.205882352941177,4.447827635327629,-1.9225562711554125,6.370383906483042,0.2419452823864523,2.549019607843137,cap,26.0
2010,1611661322,WAS,34,3.6470588235294117,4.38443732193732,-3.076018669229874,7.460455991167194,0.7373784984079079,2.549019607843137,cap,26.0
2010,1611661313,NYL,34,3.235294117647059,3.7177706552706535,-0.47831751980458304,4.196088175075237,0.48247653762359466,2.549019607843137,cap,26.0
2010,1611661330,ATL,34,2.264705882352941,2.9606481481481435,6.816612605944495,-3.855964457796351,0.6959422657952024,2.549019607843137,cap,26.0
2010,1611661323,CON,34,1.1470588235294117,2.307514245014236,2.144140481963756,0.16337376305047968,1.1604554214848242,2.549019607843137,cap,26.0
