season,team_code,playoff_round_reached,source
2022,CHI,Lost 1 Round From Title,nba_api:reconstructed
2022,SEA,Lost 1 Round From Title,nba_api:reconstructed
2022,NYL,Lost 2 Rounds From Title,nba_api:reconstructed
2022,PHO,Lost 2 Rounds From Title,nba_api:reconstructed
2022,DAL,Lost 2 Rounds From Title,nba_api:reconstructed
2022,WAS,Lost 2 Rounds From Title,nba_api:reconstructed
2022,CON,Lost Finals,nba_api:reconstructed
2023,LVA,Champion,nba_api:reconstructed
2023,CON,Lost 1 Round From Title,nba_api:reconstructed
2023,DAL,Lost 1 Round From Title,nba_api:reconstructed
2023,CHI,Lost 2 Rounds From Title,nba_api:reconstructed
2023,MIN,Lost 2 Rounds From Title,nba_api:reconstructed
2023,ATL,Lost 2 Rounds From Title,nba_api:reconstructed
2023,WAS,Lost 2 Rounds From Title,nba_api:reconstructed
2023,NYL,Lost Finals,nba_api:reconstructed
2024,NYL,Champion,nba_api:reconstructed
2024,CON,Lost 1 Round From Title,nba_api:reconstructed
2024,LVA,Lost 1 Round From Title,nba_api:reconstructed
2024,ATL,Lost 2 Rounds From Title,nba_api:reconstructed
2024,IND,Lost 2 Rounds From Title,nba_api:reconstructed
2024,SEA,Lost 2 Rounds From Title,nba_api:reconstructed
2024,PHO,Lost 2 Rounds From Title,nba_api:reconstructed
2024,MIN,Lost Finals,nba_api:reconstructed
2025,LVA,Champion,nba_api:reconstructed
2025,IND,Lost 1 Round From Title,nba_api:reconstructed
2025,MIN,Lost 1 Round From Title,nba_api:reconstructed
2025,ATL,Lost 2 Rounds From Title,nba_api:reconstructed
2025,GSV,Lost 2 Rounds From Title,nba_api:reconstructed
2025,SEA,Lost 2 Rounds From Title,nba_api:reconstructed
2025,NYL,Lost 2 Rounds From Title,nba_api:reconstructed
2025,PHO,Lost Finals,nba_api:reconstructed
