LEAGUE,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,USG_PCT,TS_PCT,PIE,WIN_SHARES
WNBA,1997,100103,Vickie Johnson,1611661313,NYL,26,30.4,9.6,4.2,2.5,0.187,0.436,0.095,
WNBA,1997,100058,Vicky Bullett,1611661314,CHA,28,31.1,12.8,6.4,2.3,0.23,0.5,0.145,
WNBA,1997,100074,Wanda Guyton,1611661316,HOU,25,27.4,6.8,5.6,0.5,0.144,0.514,0.058,
WNBA,1997,100046,Wendy Palmer,1611661319,UTA,28,33.3,15.8,8.0,1.7,0.268,0.446,0.119,
WNBA,1997,100085,Yolanda Moore,1611661316,HOU,13,7.1,1.2,1.0,0.1,0.156,0.316,-0.059,
WNBA,1997,100026,Yvette Angel,1611661318,SAC,5,18.2,3.4,1.8,1.8,0.152,0.399,0.052,
WNBA,1998,100231,Adia Barnes,1611661318,SAC,28,21.3,7.3,2.9,0.8,0.214,0.443,0.037,
WNBA,1998,100100,Adrienne Johnson,1611661315,CLE,29,11.5,4.6,1.7,0.5,0.209,0.537,0.083,
WNBA,1998,100202,Adrienne Shuler,1611661322,WAS,24,14.5,3.7,2.1,1.9,0.163,0.503,0.078,
WNBA,1998,100212,Albena Branzova,1611661313,NYL,11,8.6,2.1,1.5,0.5,0.184,0.43,0.017,
WNBA,1998,100201,Alessandra Santos de Olive,1611661322,WAS,16,30.2,11.0,8.1,0.1,0.211,0.519,0.081,
WNBA,1998,100216,Alicia Thompson,1611661313,NYL,19,6.6,1.6,1.3,0.2,0.192,0.327,0.002,
WNBA,1998,100170,Allison Feaster,1611661320,LAS,3,13.7,3.3,0.7,1.0,0.2,0.336,-0.093,
WNBA,1998,100211,Amaya Valdemoro,1611661316,HOU,16,3.9,1.9,0.6,0.4,0.25,0.639,0.085,
WNBA,1998,100065,Andrea Congreaves,1611661314,CHA,24,15.6,4.3,3.0,1.5,0.135,0.576,0.112,
WNBA,1998,100224,Andrea Kuklova,1611661317,PHO,29,11.8,3.3,1.3,1.1,0.202,0.438,0.03,
WNBA,1998,100059,Andrea Stinson,1611661314,CHA,30,34.9,15.0,4.6,4.5,0.232,0.491,0.137,
WNBA,1998,100251,Aneta Kausaite,1611661321,DET,10,5.7,1.4,1.1,0.1,0.177,0.303,0.0,
WNBA,1998,100270,Angela Hamblin,1611661321,DET,6,4.8,1.0,1.2,0.3,0.216,0.338,-0.042,
WNBA,1998,100197,Angela Jackson,1611661322,WAS,6,5.7,1.7,0.7,0.0,0.106,0.579,-0.006,
WNBA,1998,100225,Brandy Reed,1611661317,PHO,24,10.6,5.2,3.3,0.8,0.239,0.571,0.191,
WNBA,1998,100031,Bridget Pettis,1611661317,PHO,30,28.3,11.3,3.4,2.1,0.212,0.498,0.097,
WNBA,1998,100017,Bridgette Gordon,1611661318,SAC,21,12.0,2.7,1.4,0.4,0.184,0.412,-0.008,
WNBA,1998,100269,Carla Boyd,1611661321,DET,30,27.3,8.2,3.9,2.3,0.189,0.417,0.052,
WNBA,1998,100022,Chantel Tremitiere,1611661319,UTA,28,25.4,5.5,2.2,3.6,0.124,0.498,0.079,
WNBA,1998,100181,Christy Smith,1611661314,CHA,24,18.7,3.7,1.4,3.0,0.136,0.531,0.056,
WNBA,1998,100183,Cindy Blodgett,1611661315,CLE,22,8.3,2.9,0.6,0.8,0.213,0.411,0.038,
WNBA,1998,100248,Cindy Brown,1611661321,DET,30,32.3,11.8,10.0,1.8,0.183,0.555,0.182,
WNBA,1998,100217,Coquese Washington,1611661313,NYL,28,8.1,1.9,0.9,1.6,0.201,0.424,0.059,
WNBA,1998,100073,Cynthia Cooper,1611661316,HOU,30,35.0,22.7,3.7,4.4,0.301,0.604,0.209,
WNBA,1998,100052,Deborah Carter,1611661322,WAS,28,14.9,3.9,2.3,0.8,0.195,0.362,0.005,
WNBA,1998,100045,Dena Head,1611661319,UTA,30,15.5,3.6,1.7,1.2,0.14,0.543,0.063,
WNBA,1998,100043,Elena Baranova,1611661319,UTA,20,33.6,12.9,9.3,3.5,0.202,0.516,0.159,
WNBA,1998,100213,Elisabeth Cebrian,1611661313,NYL,22,8.4,1.7,1.2,0.4,0.15,0.462,-0.018,
WNBA,1998,100168,Erin Alexander,1611661319,UTA,20,6.9,2.0,0.9,0.5,0.176,0.426,0.01,
WNBA,1998,100174,Eugenia Rycraw,1611661320,LAS,20,11.4,2.3,2.5,0.2,0.107,0.552,0.096,
WNBA,1998,100091,Eva Nemcova,1611661315,CLE,30,32.4,11.9,3.7,2.2,0.184,0.568,0.11,
WNBA,1998,100084,Fran Harris,1611661319,UTA,18,19.5,3.9,2.2,1.7,0.134,0.421,0.051,
WNBA,1998,100235,Franthea Price,1611661318,SAC,25,14.8,4.8,1.7,1.4,0.181,0.508,0.121,
WNBA,1998,100246,Gergana Branzova,1611661321,DET,26,7.8,2.7,1.6,0.3,0.194,0.467,0.024,
WNBA,1998,100006,Haixia Zheng,1611661320,LAS,6,16.4,7.5,4.3,0.5,0.176,0.641,0.161,
WNBA,1998,100156,Heidi Burge,1611661322,WAS,29,16.5,6.8,3.2,0.8,0.22,0.557,0.06,
