LEAGUE,SEASON,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,PTS,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,SRS
WNBA,2002,1611661321,Detroit Shock,32,9,23,0.281,66.1,91.2,97.7,-6.5,86.25,0.479,-4.762265309749637
WNBA,2002,1611661316,Houston Comets,32,24,8,0.75,64.8,96.0,87.3,8.6,80.78,0.509,5.37462888401933
WNBA,2002,1611661325,Indiana Fever,32,16,16,0.5,65.5,96.9,98.3,-1.3,80.85,0.504,-1.0141043820185587
WNBA,2002,1611661320,Los Angeles Sparks,32,25,7,0.781,76.6,101.9,93.1,8.8,89.07,0.536,6.444001811585622
WNBA,2002,1611661326,Miami Sol,32,15,17,0.469,63.9,94.2,96.3,-2.1,80.45,0.49,-1.1869201736990362
WNBA,2002,1611661324,Minnesota Lynx,32,10,22,0.313,62.6,91.8,96.2,-4.5,80.97,0.494,-2.7303385518316645
WNBA,2002,1611661313,New York Liberty,32,18,14,0.563,65.3,98.2,94.8,3.4,79.11,0.525,2.110545411356725
WNBA,2002,1611661323,Orlando Miracle,32,16,16,0.5,70.4,99.0,98.6,0.4,83.92,0.513,-0.31665973566123284
WNBA,2002,1611661317,Phoenix Mercury,32,11,21,0.344,65.3,92.4,100.6,-8.2,85.16,0.492,-5.519744676334085
WNBA,2002,1611661327,Portland Fire,32,16,16,0.5,68.6,94.8,97.0,-2.2,85.45,0.499,-0.6111938623071183
WNBA,2002,1611661318,Sacramento Monarchs,32,14,18,0.438,67.7,93.4,98.3,-4.9,84.9,0.485,-3.50825163902482
WNBA,2002,1611661328,Seattle Storm,32,17,15,0.531,68.4,97.4,93.9,3.5,83.48,0.5,2.666738056112081
WNBA,2002,1611661319,Utah Starzz,32,20,12,0.625,75.6,100.3,98.5,1.8,89.12,0.53,2.201085039647296
WNBA,2002,1611661322,Washington Mystics,32,17,15,0.531,66.3,96.6,95.6,1.0,82.27,0.503,0.18399676724220626
WNBA,2003,1611661314,Charlotte Sting,34,18,16,0.529,65.2,99.6,98.8,0.8,77.94,0.518,0.6018276847028384
WNBA,2003,1611661315,Cleveland Rockers,34,17,17,0.5,65.6,96.5,95.3,1.2,81.35,0.494,0.4661094016447971
WNBA,2003,1611661323,Connecticut Sun,34,18,16,0.529,70.1,97.9,98.5,-0.6,85.2,0.5,-0.5043049831623475
WNBA,2003,1611661321,Detroit Shock,34,25,9,0.735,75.1,99.4,93.6,5.8,89.2,0.534,4.00918105480092
WNBA,2003,1611661316,Houston Comets,34,20,14,0.588,66.0,97.4,93.3,4.1,80.84,0.515,2.643926512442077
WNBA,2003,1611661325,Indiana Fever,34,16,18,0.471,68.7,100.8,99.7,1.1,81.09,0.518,0.6138816132177605
WNBA,2003,1611661320,Los Angeles Sparks,34,24,10,0.706,73.5,99.0,96.9,2.2,87.53,0.512,1.6101509532453335
WNBA,2003,1611661324,Minnesota Lynx,34,18,16,0.529,70.0,99.5,98.3,1.1,84.14,0.529,0.24309097715577735
WNBA,2003,1611661313,New York Liberty,34,16,18,0.471,65.9,97.4,97.7,-0.4,80.78,0.519,-0.3014869708917248
WNBA,2003,1611661317,Phoenix Mercury,34,8,26,0.235,61.7,87.6,94.5,-6.9,83.12,0.448,-4.477921603766312
WNBA,2003,1611661318,Sacramento Monarchs,34,19,15,0.559,67.6,95.1,92.0,3.2,84.87,0.482,2.040128758927629
WNBA,2003,1611661319,San Antonio Silver Stars,34,12,22,0.353,65.1,89.1,98.0,-8.9,87.23,0.463,-5.609521459964547
WNBA,2003,1611661328,Seattle Storm,34,18,16,0.529,70.2,100.9,96.5,4.4,82.72,0.52,3.1023392083571046
WNBA,2003,1611661322,Washington Mystics,34,9,25,0.265,68.5,96.2,103.1,-6.9,84.58,0.483,-4.437401146709306
WNBA,2004,1611661314,Charlotte Sting,34,16,18,0.471,61.5,95.7,99.1,-3.4,76.07,0.522,-2.426893134930034
WNBA,2004,1611661323,Connecticut Sun,34,18,16,0.529,68.7,97.6,96.2,1.4,83.27,0.505,0.3888888727775361
WNBA,2004,1611661321,Detroit Shock,34,17,17,0.5,69.5,94.9,96.0,-1.1,87.1,0.484,-0.8216342333397371
