LEAGUE,SEASON,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,PTS,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,SRS
WNBA,2012,1611661330,Atlanta Dream,34,19,15,0.559,78.6,97.0,93.3,3.7,95.57,0.509,2.5862298902027927
WNBA,2012,1611661329,Chicago Sky,34,14,20,0.412,75.2,96.7,97.1,-0.4,91.3,0.515,-0.080440742953687
WNBA,2012,1611661323,Connecticut Sun,34,25,9,0.735,81.6,102.6,97.1,5.4,94.16,0.525,3.349772314420782
WNBA,2012,1611661325,Indiana Fever,34,22,12,0.647,78.3,103.1,95.5,7.6,90.34,0.53,5.355464778480678
WNBA,2012,1611661320,Los Angeles Sparks,34,24,10,0.706,84.0,104.2,97.0,7.2,96.4,0.546,4.9422705389186525
WNBA,2012,1611661324,Minnesota Lynx,34,27,7,0.794,86.0,108.6,96.5,12.2,93.84,0.559,8.814064239767164
WNBA,2012,1611661313,New York Liberty,34,15,19,0.441,73.1,95.2,100.5,-5.3,92.14,0.501,-3.9322897991988373
WNBA,2012,1611661317,Phoenix Mercury,34,7,27,0.206,74.5,91.6,106.8,-15.2,96.82,0.472,-10.75006049465602
WNBA,2012,1611661319,San Antonio Silver Stars,34,21,13,0.618,82.1,105.6,98.9,6.7,92.64,0.541,4.737135098691391
WNBA,2012,1611661328,Seattle Storm,34,16,18,0.471,71.2,94.6,94.8,-0.1,90.18,0.534,-0.44235285495500914
WNBA,2012,1611661321,Tulsa Shock,34,9,25,0.265,77.2,96.4,104.9,-8.5,95.16,0.505,-5.801342115032776
WNBA,2012,1611661322,Washington Mystics,34,5,29,0.147,68.6,90.3,103.5,-13.1,90.58,0.486,-8.778450853685133
WNBA,2013,1611661330,Atlanta Dream,34,17,17,0.5,76.9,95.5,93.6,1.9,95.91,0.492,0.788907175216306
WNBA,2013,1611661329,Chicago Sky,34,24,10,0.706,79.4,102.3,95.1,7.2,92.69,0.514,4.650310904566354
WNBA,2013,1611661323,Connecticut Sun,34,10,24,0.294,71.0,91.0,98.8,-7.8,93.13,0.468,-5.601747705093988
WNBA,2013,1611661325,Indiana Fever,34,16,18,0.471,70.8,95.5,95.8,-0.2,87.67,0.486,-0.4134451105358645
WNBA,2013,1611661320,Los Angeles Sparks,34,24,10,0.706,81.9,102.8,94.0,8.7,94.64,0.543,6.834791095194615
WNBA,2013,1611661324,Minnesota Lynx,34,26,8,0.765,82.9,106.6,94.7,11.8,92.89,0.541,8.94963834597854
WNBA,2013,1611661313,New York Liberty,34,11,23,0.324,69.6,89.4,98.5,-9.0,92.6,0.472,-6.8685567318140945
WNBA,2013,1611661317,Phoenix Mercury,34,19,15,0.559,79.7,99.7,100.5,-0.7,95.53,0.544,0.010117465480460008
WNBA,2013,1611661319,San Antonio Silver Stars,34,12,22,0.353,72.1,93.9,101.3,-7.4,91.85,0.481,-4.806429615892248
WNBA,2013,1611661328,Seattle Storm,34,17,17,0.5,70.9,95.9,98.9,-3.0,88.46,0.524,-1.8956283657274235
WNBA,2013,1611661321,Tulsa Shock,34,11,23,0.324,77.0,98.3,100.7,-2.5,92.13,0.51,-1.468940660305798
WNBA,2013,1611661322,Washington Mystics,34,17,17,0.5,75.5,96.2,95.7,0.6,93.29,0.501,-0.17901679706685814
WNBA,2014,1611661330,Atlanta Dream,34,19,15,0.559,80.6,97.6,95.5,2.1,96.43,0.506,1.3487136947621436
WNBA,2014,1611661329,Chicago Sky,34,15,19,0.441,76.2,97.3,99.8,-2.6,92.98,0.512,-2.215394170706614
WNBA,2014,1611661323,Connecticut Sun,34,13,21,0.382,75.7,97.1,99.4,-2.4,92.53,0.486,-2.1206630488273217
WNBA,2014,1611661325,Indiana Fever,34,16,18,0.471,74.1,98.0,99.1,-1.1,89.57,0.509,-1.2923158746139862
WNBA,2014,1611661320,Los Angeles Sparks,34,16,18,0.471,77.4,97.2,97.7,-0.5,93.71,0.519,0.35926426622189844
WNBA,2014,1611661324,Minnesota Lynx,34,25,9,0.735,81.6,104.4,98.9,5.6,92.72,0.541,4.3357678462369496
WNBA,2014,1611661313,New York Liberty,34,15,19,0.441,72.1,93.2,97.1,-3.9,91.88,0.491,-3.197587727602054
WNBA,2014,1611661317,Phoenix Mercury,34,29,5,0.853,83.5,106.4,94.1,12.3,92.77,0.574,8.7438921223966
WNBA,2014,1611661319,San Antonio Stars,34,16,18,0.471,77.8,101.1,103.1,-2.0,91.1,0.522,-1.100137675197416
WNBA,2014,1611661328,Seattle Storm,34,12,22,0.353,70.9,95.4,101.5,-6.0,88.13,0.527,-3.3330489181486134
WNBA,2014,1611661321,Tulsa Shock,34,12,22,0.353,81.2,103.1,106.1,-3.0,92.79,0.516,-1.3821893767812738
WNBA,2014,1611661322,Washington Mystics,34,16,18,0.471,74.3,96.6,95.9,0.8,90.0,0.51,-0.1463011377403129
WNBA,2015,1611661330,Atlanta Dream,34,15,19,0.441,77.8,97.7,100.6,-2.8,94.67,0.501,-1.0923166717032786
WNBA,2015,1611661329,Chicago Sky,34,21,13,0.618,82.9,104.4,99.4,5.0,94.18,0.525,4.28260135707843
WNBA,2015,1611661323,Connecticut Sun,34,15,19,0.441,75.0,98.2,100.2,-2.0,89.72,0.503,-0.7672646505890024
WNBA,2015,1611661325,Indiana Fever,34,20,14,0.588,77.7,99.8,97.4,2.4,92.72,0.521,2.4503029628185637
WNBA,2015,1611661320,Los Angeles Sparks,34,14,20,0.412,73.6,98.9,100.0,-1.1,88.71,0.531,-1.6629132623783611
WNBA,2015,1611661324,Minnesota Lynx,34,22,12,0.647,75.5,99.6,94.2,5.3,90.81,0.517,2.646545583305281
WNBA,2015,1611661313,New York Liberty,34,23,11,0.676,74.4,96.6,92.4,4.3,91.67,0.505,3.605574389996018
WNBA,2015,1611661317,Phoenix Mercury,34,20,14,0.588,75.1,98.5,94.8,3.7,89.85,0.526,2.025924167599114
WNBA,2015,1611661319,San Antonio Stars,34,8,26,0.235,68.1,89.0,100.2,-11.2,91.48,0.469,-8.52948247053462
WNBA,2015,1611661328,Seattle Storm,34,10,24,0.294,70.4,92.3,99.9,-7.6,91.45,0.519,-5.803597487465707
WNBA,2015,1611661321,Tulsa Shock,34,18,16,0.529,77.7,101.5,100.5,1.0,91.29,0.5,-0.007652093400327565
WNBA,2015,1611661322,Washington Mystics,34,18,16,0.529,73.6,98.1,95.1,2.9,89.27,0.514,2.8522781752738915
WNBA,2016,1611661330,Atlanta Dream,34,17,17,0.5,81.8,100.8,103.3,-2.5,95.36,0.508,-2.0628644500198012
WNBA,2016,1611661329,Chicago Sky,34,18,16,0.529,86.2,107.1,106.2,0.8,95.42,0.537,0.5314302881951372
WNBA,2016,1611661323,Connecticut Sun,34,14,20,0.412,83.0,102.1,103.7,-1.6,95.34,0.515,-1.3260242984701565
WNBA,2016,1611661321,Dallas Wings,34,11,23,0.324,82.6,101.8,108.5,-6.6,95.41,0.511,-5.106716898458167
WNBA,2016,1611661325,Indiana Fever,34,17,17,0.5,80.5,102.8,103.4,-0.6,93.2,0.542,-0.33186995757526355
WNBA,2016,1611661320,Los Angeles Sparks,34,26,8,0.765,83.0,106.7,97.6,9.1,92.6,0.574,6.314309365620042
WNBA,2016,1611661324,Minnesota Lynx,34,28,6,0.824,85.8,107.4,96.6,10.8,94.35,0.551,8.129376046527302
WNBA,2016,1611661313,New York Liberty,34,21,13,0.618,81.6,100.6,99.7,0.9,94.92,0.517,0.7207588303527998
WNBA,2016,1611661317,Phoenix Mercury,34,16,18,0.471,84.6,105.0,103.8,1.2,95.1,0.563,1.0511615109210048
WNBA,2016,1611661319,San Antonio Stars,34,7,27,0.206,72.0,93.6,104.0,-10.5,91.44,0.49,-7.369864877444783
WNBA,2016,1611661328,Seattle Storm,34,16,18,0.471,80.8,103.9,103.1,0.7,93.01,0.565,0.7872902507290616
WNBA,2016,1611661322,Washington Mystics,34,13,21,0.382,80.7,103.1,104.8,-1.7,92.05,0.531,-1.3369858103771757
WNBA,2017,1611661330,Atlanta Dream,34,12,22,0.353,78.9,97.0,101.5,-4.4,95.71,0.491,-3.589182717613361
WNBA,2017,1611661329,Chicago Sky,34,12,22,0.353,82.1,99.5,105.7,-6.1,97.25,0.539,-4.799705823730634
WNBA,2017,1611661323,Connecticut Sun,34,21,13,0.618,86.0,105.6,100.3,5.3,97.68,0.531,4.134501241612194
WNBA,2017,1611661321,Dallas Wings,34,16,18,0.471,86.1,104.2,107.6,-3.4,97.72,0.521,-2.2273262792122943
WNBA,2017,1611661325,Indiana Fever,34,9,25,0.265,75.1,97.0,108.1,-11.1,92.55,0.513,-8.447356463279295
WNBA,2017,1611661320,Los Angeles Sparks,34,26,8,0.765,83.5,106.7,96.1,10.6,92.67,0.564,7.588437168216898
WNBA,2017,1611661324,Minnesota Lynx,34,27,7,0.794,85.4,108.5,94.4,14.1,94.41,0.563,10.22367080545684
WNBA,2017,1611661313,New York Liberty,34,22,12,0.647,79.7,101.8,97.9,3.8,93.57,0.512,2.9766095748913237
WNBA,2017,1611661317,Phoenix Mercury,34,18,16,0.529,81.9,102.3,102.6,-0.3,94.88,0.545,0.27632875953663777
WNBA,2017,1611661319,San Antonio Stars,34,8,26,0.235,74.4,95.7,104.5,-8.8,92.69,0.508,-6.410079314532462
WNBA,2017,1611661328,Seattle Storm,34,15,19,0.441,82.6,105.0,105.0,0.0,93.38,0.574,-0.17325374605868582
WNBA,2017,1611661322,Washington Mystics,34,18,16,0.529,81.7,104.2,103.5,0.6,93.34,0.526,0.4473567947128392
WNBA,2018,1611661330,Atlanta Dream,34,23,11,0.676,81.8,100.4,97.5,2.9,97.82,0.514,1.8786413619366558
WNBA,2018,1611661329,Chicago Sky,34,13,21,0.382,83.8,101.8,109.9,-8.1,97.15,0.547,-5.992690771800589
WNBA,2018,1611661323,Connecticut Sun,34,21,13,0.618,87.6,108.6,101.4,7.2,96.78,0.55,5.539470089137808
WNBA,2018,1611661321,Dallas Wings,34,15,19,0.441,86.6,106.2,105.0,1.3,97.73,0.544,1.3779312345000447
WNBA,2018,1611661325,Indiana Fever,34,6,28,0.176,76.4,95.7,107.2,-11.5,94.43,0.489,-8.48975219915477
WNBA,2018,1611661319,Las Vegas Aces,33,14,19,0.424,84.4,102.0,105.2,-3.2,98.88,0.521,-2.2361051458827523
WNBA,2018,1611661320,Los Angeles Sparks,34,19,15,0.559,78.9,101.1,98.9,2.2,93.22,0.537,1.7748522852487756
WNBA,2018,1611661324,Minnesota Lynx,34,18,16,0.529,78.9,100.8,99.8,1.1,94.04,0.529,0.6695920579243084
WNBA,2018,1611661313,New York Liberty,34,7,27,0.206,77.7,97.5,105.9,-8.4,95.16,0.517,-6.729530923350235
WNBA,2018,1611661317,Phoenix Mercury,34,20,14,0.588,85.8,107.3,103.7,3.5,96.11,0.576,2.263882922509719
WNBA,2018,1611661328,Seattle Storm,34,26,8,0.765,87.2,108.5,99.3,9.2,95.7,0.572,6.983179530216981
WNBA,2018,1611661322,Washington Mystics,33,21,12,0.636,84.5,107.6,103.5,4.2,94.29,0.558,2.960529558714053
WNBA,2019,1611661330,Atlanta Dream,34,8,26,0.235,71.2,89.8,99.5,-9.7,94.77,0.462,-6.960513732762401
WNBA,2019,1611661329,Chicago Sky,34,20,14,0.588,84.6,101.6,100.1,1.4,99.5,0.543,1.4883165326218226
WNBA,2019,1611661323,Connecticut Sun,34,23,11,0.676,80.8,100.3,96.8,3.5,96.32,0.509,2.460513919193768
WNBA,2019,1611661321,Dallas Wings,34,10,24,0.294,71.6,94.0,101.6,-7.5,91.38,0.484,-5.355988469675632
WNBA,2019,1611661325,Indiana Fever,34,13,21,0.382,77.6,98.6,101.9,-3.4,93.79,0.508,-2.6703269185890264
WNBA,2019,1611661319,Las Vegas Aces,34,21,13,0.618,82.2,99.1,95.0,4.1,98.8,0.516,3.2076015194405034
WNBA,2019,1611661320,Los Angeles Sparks,34,22,12,0.647,80.1,99.3,96.0,3.3,96.26,0.522,2.681287125476472
WNBA,2019,1611661324,Minnesota Lynx,34,18,16,0.529,78.4,98.8,95.8,3.0,95.12,0.531,2.2646165610132485
WNBA,2019,1611661313,New York Liberty,34,10,24,0.294,77.4,95.4,103.8,-8.5,97.68,0.504,-6.801894911206676
WNBA,2019,1611661317,Phoenix Mercury,34,15,19,0.441,76.5,98.3,99.5,-1.2,93.19,0.529,-1.1717890376615807
WNBA,2019,1611661328,Seattle Storm,34,18,16,0.529,74.8,96.2,96.4,-0.2,93.39,0.513,-0.2090610906177004
WNBA,2019,1611661322,Washington Mystics,34,26,8,0.765,89.3,112.9,98.1,14.8,94.36,0.579,11.067238502767202
WNBA,2020,1611661330,Atlanta Dream,22,7,15,0.318,81.0,99.0,107.1,-8.1,97.63,0.518,-6.12503803143104
WNBA,2020,1611661329,Chicago Sky,22,12,10,0.545,86.7,105.7,102.7,3.0,98.37,0.58,2.416681672265307
WNBA,2020,1611661323,Connecticut Sun,22,10,12,0.455,80.4,100.1,99.5,0.6,95.81,0.513,0.416669253838846
WNBA,2020,1611661321,Dallas Wings,22,8,14,0.364,83.4,103.6,108.0,-4.4,95.57,0.525,-3.250020179942999
WNBA,2020,1611661325,Indiana Fever,22,6,16,0.273,81.7,101.6,111.8,-10.2,96.27,0.543,-7.208378091412037
WNBA,2020,1611661319,Las Vegas Aces,22,18,4,0.818,88.7,107.3,97.2,10.0,99.08,0.562,7.8750488975541915
WNBA,2020,1611661320,Los Angeles Sparks,22,15,7,0.682,84.9,104.3,98.8,5.5,97.08,0.571,4.208359463772346
WNBA,2020,1611661324,Minnesota Lynx,22,14,8,0.636,84.4,106.7,101.7,5.1,95.02,0.562,3.500021732246308
WNBA,2020,1611661313,New York Liberty,22,2,20,0.091,71.9,87.3,104.5,-17.2,98.67,0.485,-12.83341301823646
WNBA,2020,1611661317,Phoenix Mercury,22,13,9,0.591,86.1,104.5,101.8,2.7,98.47,0.564,1.833344716890923
WNBA,2020,1611661328,Seattle Storm,22,18,4,0.818,87.5,108.3,93.3,15.0,97.39,0.575,10.583399047506692
WNBA,2020,1611661322,Washington Mystics,22,9,13,0.409,80.0,100.1,102.2,-2.1,94.73,0.532,-1.4166754630520768
WNBA,2021,1611661330,Atlanta Dream,32,8,24,0.25,78.7,97.5,104.0,-6.5,96.33,0.489,-5.3839923441410065
WNBA,2021,1611661329,Chicago Sky,32,16,16,0.5,83.3,100.9,99.4,1.5,97.46,0.538,1.0963962972164154
WNBA,2021,1611661323,Connecticut Sun,32,26,6,0.813,79.7,104.1,91.7,12.4,90.96,0.543,8.862720787525177
WNBA,2021,1611661321,Dallas Wings,32,14,18,0.438,81.1,102.2,103.0,-0.8,94.47,0.521,-0.22955788671970367
WNBA,2021,1611661325,Indiana Fever,32,6,26,0.188,75.3,95.3,107.8,-12.5,94.78,0.497,-8.96485148370266
WNBA,2021,1611661319,Las Vegas Aces,32,24,8,0.75,89.3,107.1,96.0,11.1,98.98,0.559,8.43953624367714
WNBA,2021,1611661320,Los Angeles Sparks,32,12,20,0.375,72.8,92.3,97.5,-5.2,94.03,0.5,-3.7908304631710052
WNBA,2021,1611661324,Minnesota Lynx,32,22,10,0.688,82.7,102.8,98.0,4.7,95.74,0.553,3.625807911157608
WNBA,2021,1611661313,New York Liberty,32,12,20,0.375,78.5,96.1,104.3,-8.2,97.81,0.541,-6.320242077112198
WNBA,2021,1611661317,Phoenix Mercury,32,19,13,0.594,82.1,104.3,101.3,3.1,93.56,0.553,2.4452634304761887
WNBA,2021,1611661328,Seattle Storm,32,21,11,0.656,84.8,103.6,98.4,5.2,96.24,0.556,3.8038975596427917
WNBA,2021,1611661322,Washington Mystics,32,12,20,0.375,79.8,99.5,104.4,-5.0,95.79,0.519,-3.5841479748487473
WNBA,2022,1611661330,Atlanta Dream,36,14,22,0.389,78.5,96.4,99.8,-3.4,97.22,0.516,-2.978976004976181
WNBA,2022,1611661329,Chicago Sky,36,26,10,0.722,86.3,105.8,99.7,6.0,96.81,0.574,4.848008126706886
WNBA,2022,1611661323,Connecticut Sun,36,25,11,0.694,85.8,105.8,96.3,9.5,96.45,0.552,7.226938700682289
WNBA,2022,1611661321,Dallas Wings,36,18,18,0.5,82.9,104.6,104.3,0.2,94.84,0.536,0.03735757988069218
WNBA,2022,1611661325,Indiana Fever,36,5,31,0.139,78.0,95.2,108.1,-12.9,97.92,0.5,-10.023946208648397
WNBA,2022,1611661319,Las Vegas Aces,36,26,10,0.722,90.4,109.6,102.0,7.7,98.64,0.573,5.775254982131571
WNBA,2022,1611661320,Los Angeles Sparks,36,13,23,0.361,79.4,97.6,106.7,-9.1,97.2,0.53,-6.491066810549496
WNBA,2022,1611661324,Minnesota Lynx,36,14,22,0.389,82.4,102.6,104.4,-1.8,95.77,0.545,-1.18655795863643
WNBA,2022,1611661313,New York Liberty,36,16,20,0.444,79.6,99.0,102.0,-3.0,95.52,0.543,-1.97187693551736
WNBA,2022,1611661317,Phoenix Mercury,36,15,21,0.417,81.1,100.7,104.1,-3.4,95.85,0.543,-2.9651501550038297
WNBA,2022,1611661328,Seattle Storm,36,22,14,0.611,82.5,102.6,97.4,5.2,96.18,0.547,3.9134956955108264
WNBA,2022,1611661322,Washington Mystics,36,22,14,0.611,80.2,101.1,96.0,5.1,94.05,0.538,3.8165189884194284
WNBA,2023,1611661330,Atlanta Dream,40,19,21,0.475,82.5,99.7,101.5,-1.8,98.7,0.527,-1.0070205437011717
WNBA,2023,1611661329,Chicago Sky,40,18,22,0.45,81.7,101.3,103.4,-2.1,96.18,0.533,-1.519194289550781
WNBA,2023,1611661323,Connecticut Sun,40,27,13,0.675,82.7,103.2,98.8,4.4,95.12,0.54,3.432039312255859
WNBA,2023,1611661321,Dallas Wings,40,22,18,0.55,87.9,106.9,103.5,3.5,98.21,0.535,2.6416737797851564
WNBA,2023,1611661325,Indiana Fever,40,13,27,0.325,81.0,101.8,106.3,-4.5,94.83,0.532,-3.849618795654296
WNBA,2023,1611661319,Las Vegas Aces,40,34,6,0.85,92.8,113.0,97.7,15.3,98.57,0.597,11.460439323730467
WNBA,2023,1611661320,Los Angeles Sparks,40,17,23,0.425,78.9,98.0,100.0,-1.9,96.31,0.525,-1.6454952329101562
WNBA,2023,1611661324,Minnesota Lynx,40,19,21,0.475,80.2,99.8,105.7,-5.9,95.84,0.53,-4.506638774902343
WNBA,2023,1611661313,New York Liberty,40,32,8,0.8,89.2,109.6,99.4,10.3,96.56,0.577,8.142308962158202
WNBA,2023,1611661317,Phoenix Mercury,40,9,31,0.225,76.6,97.6,107.9,-10.3,94.01,0.539,-7.751083571289063
WNBA,2023,1611661328,Seattle Storm,40,11,29,0.275,78.8,96.9,104.0,-7.1,97.23,0.518,-5.073895524414062
WNBA,2023,1611661322,Washington Mystics,40,19,21,0.475,80.5,99.9,100.3,-0.4,96.4,0.533,-0.3235146455078122
WNBA,2024,1611661330,Atlanta Dream,40,15,25,0.375,77.0,96.6,100.1,-3.6,94.75,0.501,-2.3911151752929687
WNBA,2024,1611661329,Chicago Sky,40,13,27,0.325,77.4,97.0,103.5,-6.5,95.72,0.495,-4.665390817138673
WNBA,2024,1611661323,Connecticut Sun,40,28,12,0.7,80.1,102.3,94.1,8.1,93.32,0.533,5.746552821777343
WNBA,2024,1611661321,Dallas Wings,40,9,31,0.225,84.2,102.1,111.7,-9.5,98.05,0.531,-7.175656842285156
WNBA,2024,1611661325,Indiana Fever,40,20,20,0.5,85.0,104.2,107.5,-3.4,97.54,0.559,-2.186027290771484
WNBA,2024,1611661319,Las Vegas Aces,40,27,13,0.675,86.4,106.1,99.6,6.5,97.3,0.567,4.773231447509766
WNBA,2024,1611661320,Los Angeles Sparks,40,8,32,0.2,78.4,97.0,105.7,-8.6,96.79,0.523,-6.302627891845703
WNBA,2024,1611661324,Minnesota Lynx,40,30,10,0.75,82.0,102.8,94.8,8.0,94.83,0.553,5.637345819335938
WNBA,2024,1611661313,New York Liberty,40,32,8,0.8,85.6,107.0,95.3,11.7,96.15,0.561,8.060094591064454
WNBA,2024,1611661317,Phoenix Mercury,40,19,21,0.475,81.5,101.3,105.4,-4.1,95.88,0.547,-2.9720180002441405
WNBA,2024,1611661328,Seattle Storm,40,25,15,0.625,83.2,102.1,96.4,5.6,97.31,0.525,3.9147254675292964
WNBA,2024,1611661322,Washington Mystics,40,14,26,0.35,79.3,98.0,101.7,-3.8,96.49,0.538,-2.439114129638672
WNBA,2025,1611661330,Atlanta Dream,44,30,14,0.682,84.4,108.2,98.9,9.3,93.08,0.555,6.492010429379089
WNBA,2025,1611661329,Chicago Sky,44,10,34,0.227,75.8,97.0,109.9,-12.8,93.75,0.516,-9.124540615377704
WNBA,2025,1611661323,Connecticut Sun,44,11,33,0.25,75.8,95.9,108.8,-12.9,94.57,0.505,-9.243243508346946
WNBA,2025,1611661321,Dallas Wings,44,10,34,0.227,81.7,101.6,109.1,-7.5,96.34,0.514,-5.379027987705607
WNBA,2025,1611661331,Golden State Valkyries,44,23,21,0.523,77.7,101.5,99.8,1.7,91.55,0.531,1.4654940216246346
WNBA,2025,1611661325,Indiana Fever,44,24,20,0.545,84.9,106.2,101.8,4.5,95.71,0.554,2.531825712556389
WNBA,2025,1611661319,Las Vegas Aces,44,30,14,0.682,83.6,105.9,101.9,3.9,94.92,0.552,2.589771155427817
WNBA,2025,1611661320,Los Angeles Sparks,44,21,23,0.477,85.7,105.2,108.5,-3.3,96.84,0.563,-2.1857061714448536
WNBA,2025,1611661324,Minnesota Lynx,44,34,10,0.773,86.1,109.5,97.5,12.1,94.06,0.572,8.71761285541616
WNBA,2025,1611661313,New York Liberty,44,27,17,0.614,84.4,105.8,100.6,5.2,95.75,0.574,3.7907161274805805
WNBA,2025,1611661317,Phoenix Mercury,44,27,17,0.614,82.8,103.6,100.4,3.2,95.81,0.542,2.5509496696720606
WNBA,2025,1611661328,Seattle Storm,44,23,21,0.523,82.1,103.0,100.1,2.9,95.28,0.539,2.021447857422996
WNBA,2025,1611661322,Washington Mystics,44,16,28,0.364,77.1,97.2,103.2,-6.0,94.76,0.53,-4.2273095461046175
